JOB	FUTURE WC	HRS REMAINING	END
205269	MATLHAND	0.02	5/21/2024
205463	MATLHAND	0.02	6/3/2024
205226-01	MATLHAND	0.02	6/3/2024
205379	MATLHAND	0	6/28/2024
205459	MATLHAND	0	6/3/2024
205526	MAZAK250	7	6/5/2024
205540	MAZAK250	2.5	6/7/2024
204747	MAZAK250	2	6/26/2024
205374-06	MAZAK250	1.6	6/12/2024
205560	MAZAK250	1.46	6/7/2024
205534-06	MAZAK250	0.9	6/11/2024
205534-09	MAZAK250	0.84	6/11/2024
204846-16	MAZAK250	0.75	6/18/2024
205374-09	MAZAK250	0.6	6/11/2024
204933	MAZAK300C	62.4	6/20/2024
205405	MAZAK300C	32.07	7/2/2024
205527	MAZAK300C	16	7/5/2024
205560	MAZAK300C	9.58	6/25/2024
205322-07B	MAZAK300C	4	6/26/2024
205391	MAZAK300C	3.44	6/5/2024
205420	MAZAK300C	3.34	6/19/2024
205409	MAZAK300C	2.43	6/6/2024
205432	MAZAK300C	1.48	6/3/2024
205412	MAZAK300C	1.41	6/6/2024
205443	MAZAK300C	0.94	6/21/2024
205540	MAZAK300C	0.72	6/21/2024
205408	MAZAK300C	0.42	6/6/2024
204933	MAZAK450	52.65	6/7/2024
205539	MAZAK450	16	6/11/2024
205524	MAZAK450	12.96	6/19/2024
205566	MAZAK450	6	6/13/2024
205421	MAZAK450	5.68	6/17/2024
205571	MAZAK450	5	6/12/2024
205535	MAZAK450	3.04	6/20/2024
205420	MAZAK450	2.25	6/14/2024
205443	MAZAK450	0	6/17/2024
205274-05	MAZAK510C1	36.67	7/23/2024
205553-03H	MAZAK510C1	13	6/17/2024
205536	MAZAK510C1	2	6/21/2024
205274-06	MAZAK510C2	15	7/23/2024
205322-04	MAZAK510C2	3	7/1/2024
205274-04	MAZAK700D	21.67	7/23/2024
205394-02C	MAZAK700D	6.64	6/19/2024
205274-03	MAZAK700D	3.5	7/23/2024
205442-02	MAZAK700D	1.4	5/31/2024
205322-15	MAZAK700D	0.75	7/1/2024
205322-17	MAZAK700D	0.75	7/1/2024
205446	MAZAK700D	0.49	6/5/2024
205481-02	MAZAK700D	0.31	6/4/2024
204976	MVB25	30.4	5/29/2024
205095	MVB25	12.05	6/3/2024
205251-20	MVB25	11.01	6/6/2024
205476SER	MVB25	8.97	6/25/2024
205251-21	MVB25	4.54	6/7/2024
205473SER	MVB25	0	6/25/2024
204857	PAINT	10.37	6/21/2024
205224	PAINT	9.52	5/31/2024
205251	PAINT	6	7/29/2024
204478	PAINT	5.23	6/18/2024
204310-01	PAINT	4	5/20/2024
205252	PAINT	3	7/30/2024
204740	PAINT	2.5	6/28/2024
204846-01	PAINT	2.5	6/19/2024
204937	PAINT	2.33	5/22/2024
204938	PAINT	2.33	5/22/2024
204302	PAINT	2	5/20/2024
204846	PAINT	2	6/21/2024
205261	PAINT	2	5/20/2024
204846-02	PAINT	2	6/19/2024
205476SER	PAINT	1	6/25/2024
204976	PAINT	0.87	5/31/2024
205177	PAINT	0.83	6/14/2024
205172	PAINT	0.75	6/14/2024
205213	PAINT	0.75	7/3/2024
204846-13C	PAINT	0.53	6/13/2024
204846-18	PAINT	0.5	6/17/2024
204846-19	PAINT	0.5	6/19/2024
205176	PAINT	0.42	6/13/2024
205264-01	PAINT	0.4	6/6/2024
205214	PAINT	0.33	7/9/2024
205478SER	PAINT	0.33	6/25/2024
204846-07	PAINT	0.25	5/30/2024
204846-08	PAINT	0.25	6/17/2024
205178	PAINT	0.17	5/31/2024
205379	PAINT	0	6/27/2024
205473SER	PAINT	0	6/26/2024
205168-02	PEEN	6.4	6/14/2024
205288	PEEN	3.2	6/13/2024
205536	PEEN	0.18	6/21/2024
205328	PEEN	0.1	7/2/2024
205552	PEEN	0.05	6/28/2024
190372	PEPFAR	0	6/27/2024
204310	PEPFAR	0	5/22/2024
204310	PEPFAR	0	5/22/2024
204310	PEPFAR	0	5/23/2024
205527	PRGRM CUT	0.2	6/6/2024
205542	PRGRM CUT	0.2	6/7/2024
205541-01	PRGRM CUT	0.2	6/6/2024
205545	PRGRM CUT	0.15	6/7/2024
205527	PRGRM MACH	4.8	6/10/2024
205476SER	PRGRM MACH	1.2	6/21/2024
205473SER	PRGRM MACH	1	6/20/2024
205475SER	PRGRM MACH	0.9	6/21/2024
205478SER	PRGRM MACH	0.8	6/21/2024
204934	PRGRM MACH	0.6	5/24/2024
205251-20	PRGRM MACH	0.5	6/4/2024
205251-21	PRGRM MACH	0.5	5/22/2024
205420	PRGRM MACH	0.3	6/18/2024
205443	PRGRM MACH	0.3	6/19/2024
205540	PRGRM MACH	0.3	6/10/2024
205560	PRGRM MACH	0.3	6/10/2024
205264-01	PRGRM MACH	0.3	5/31/2024
205416-01	PRGRM MACH	0.3	5/31/2024
205416-02	PRGRM MACH	0.3	5/31/2024
205416-03	PRGRM MACH	0.3	5/31/2024
205416-04	PRGRM MACH	0.3	5/31/2024
205446	PRGRM MACH	0.23	6/4/2024
204933	PRGRM MACH	0	6/7/2024
204537-95	PROCESSENG	0	-
205261	ROTOBLAST	0.5	5/20/2024
205394-02	ROTOBLAST	0.5	6/24/2024
205394-07A	ROTOBLAST	0.4	6/18/2024
205553-03H	ROTOBLAST	0.33	6/13/2024
205367	ROTOBLAST	0.3	6/18/2024
205553-03D	ROTOBLAST	0.3	6/14/2024
205553-03E	ROTOBLAST	0.3	6/14/2024
205553-03F	ROTOBLAST	0.3	6/14/2024
205553-03G	ROTOBLAST	0.3	6/14/2024
205419	ROTOBLAST	0.25	5/30/2024
205553-01C	ROTOBLAST	0.25	6/21/2024
205553-03N	ROTOBLAST	0.25	6/17/2024
205553-03R	ROTOBLAST	0.25	6/14/2024
205398	ROTOBLAST	0.2	5/30/2024
205394-02B	ROTOBLAST	0.2	6/18/2024
205394-02C	ROTOBLAST	0.2	6/18/2024
205394-04B	ROTOBLAST	0.2	6/19/2024
205473-05	ROTOBLAST	0.2	6/14/2024
205476-02	ROTOBLAST	0.2	6/18/2024
205480-02	ROTOBLAST	0.2	6/3/2024
205480-04A	ROTOBLAST	0.2	6/3/2024
205553-01A	ROTOBLAST	0.2	6/24/2024
205252-08	ROTOBLAST	0.17	6/17/2024
205416-04	ROTOBLAST	0.17	5/31/2024
205473-02	ROTOBLAST	0.17	-
205475-02	ROTOBLAST	0.17	-
205476-02	ROTOBLAST	0.17	-
205478-02	ROTOBLAST	0.17	-
205252-09	ROTOBLAST	0.15	6/17/2024
205322-04B	ROTOBLAST	0.15	6/27/2024
205475-04	ROTOBLAST	0.15	6/18/2024
205478-04	ROTOBLAST	0.15	6/18/2024
205464	ROTOBLAST	0.1	5/31/2024
205480-01	ROTOBLAST	0.1	6/3/2024
205480-03	ROTOBLAST	0.1	6/3/2024
205473-01	ROTOBLAST	0.08	-
205473-03	ROTOBLAST	0.08	-
205473-04	ROTOBLAST	0.08	-
205475-01	ROTOBLAST	0.08	-
205475-03	ROTOBLAST	0.08	-
205476-01	ROTOBLAST	0.08	-
205476-03	ROTOBLAST	0.08	-
205478-01	ROTOBLAST	0.08	-
205478-03	ROTOBLAST	0.08	-
205432	ROTOBLAST	0.05	5/30/2024
205383	ROTOBLAST	0	6/20/2024
205521	ROTOBLAST	0	6/5/2024
205553-03O	ROTOBLAST	0	6/18/2024
205394-04B	SABRE2000	8.64	6/20/2024
205394-02B	SABRE2000	4	6/19/2024
205534-10	SAW	1	6/11/2024
205566	SAW	0.92	6/6/2024
205571	SAW	0.67	6/6/2024
205541-02	SAW	0.67	6/6/2024
205534-05	SAW	0.6	6/13/2024
205534-13	SAW	0.6	6/13/2024
205560	SAW	0.46	6/6/2024
205534-01	SAW	0.45	6/13/2024
205548	SAW	0.27	6/5/2024
205214	SAW	0.25	7/5/2024
205540	SAW	0.23	6/6/2024
205553-03V	SAW	0.15	6/18/2024
205553-03B	SAW	0.13	6/18/2024
205549	SAW	0.1	6/5/2024
205553-03U	SAW	0.07	6/18/2024
205491	SHIP	1	6/3/2024
205491	SHIP	1	6/4/2024
205190-05	SHIP	1	6/6/2024
205190-06	SHIP	1	6/6/2024
204432	SHIP	0.01	5/22/2024
204819	SHIP	0.01	6/12/2024
190540	SHIP	0	5/30/2024
191109	SHIP	0	5/20/2024
204818	SHIP	0	6/13/2024
204838	SHIP	0	5/20/2024
204898	SHIP	0	5/20/2024
204937	SHIP	0	5/23/2024
204938	SHIP	0	5/23/2024
205095	SHIP	0	6/6/2024
205096	SHIP	0	6/7/2024
205119	SHIP	0	5/23/2024
205172	SHIP	0	6/17/2024
205174	SHIP	0	6/17/2024
205176	SHIP	0	6/17/2024
205177	SHIP	0	6/17/2024
205178	SHIP	0	6/3/2024
205179	SHIP	0	6/3/2024
205180	SHIP	0	6/3/2024
205183	SHIP	0	5/20/2024
205184	SHIP	0	5/28/2024
205185	SHIP	0	6/3/2024
205186	SHIP	0	6/3/2024
205187	SHIP	0	6/3/2024
205188	SHIP	0	6/3/2024
205189	SHIP	0	6/3/2024
205213	SHIP	0	7/10/2024
205214	SHIP	0	7/10/2024
205273	SHIP	0	7/22/2024
205274	SHIP	0	8/1/2024
205328	SHIP	0	7/3/2024
205345	SHIP	0	5/28/2024
205350	SHIP	0	6/10/2024
205359	SHIP	0	6/11/2024
205365	SHIP	0	6/27/2024
205366	SHIP	0	6/27/2024
205367	SHIP	0	6/24/2024
205368	SHIP	0	6/24/2024
205369	SHIP	0	6/24/2024
205374	SHIP	0	6/17/2024
205378	SHIP	0	6/28/2024
205389	SHIP	0	6/11/2024
205534	SHIP	0	6/25/2024
205548	SHIP	0	6/7/2024
205549	SHIP	0	6/6/2024
205553	SHIP	0	6/27/2024
205561	SHIP	0	6/13/2024
204885-01	SHIP	0	5/20/2024
204885-02	SHIP	0	5/20/2024
204885-03	SHIP	0	5/20/2024
204885-04	SHIP	0	5/20/2024
205168-01	SHIP	0	5/20/2024
205168-02	SHIP	0	6/17/2024
205168-03	SHIP	0	6/17/2024
205168-04	SHIP	0	6/17/2024
205190-01	SHIP	0	6/6/2024
205190-02	SHIP	0	6/6/2024
205190-03	SHIP	0	6/6/2024
205190-04	SHIP	0	6/6/2024
205394-06	SHIP	0	6/26/2024
205394-07	SHIP	0	6/26/2024
205416-01	SHIP	0	6/5/2024
205416-02	SHIP	0	6/5/2024
205416-03	SHIP	0	6/5/2024
205416-04	SHIP	0	6/5/2024
205416-05	SHIP	0	6/5/2024
205473SER	SHIP	0	6/27/2024
205475SER	SHIP	0	6/27/2024
205476SER	SHIP	0	6/27/2024
205478SER	SHIP	0	6/27/2024
204380	SHOPPROJ	0	5/20/2024
204885	TESTING	0	5/28/2024
205205	TRANSFER	0	6/19/2024
205372	TRANSFER	0	6/5/2024
205383	TRANSFER	0	6/28/2024
205390	TRANSFER	0	6/13/2024
205391	TRANSFER	0	6/13/2024
205403	TRANSFER	0	6/10/2024
205419	TRANSFER	0	6/7/2024
205421	TRANSFER	0	6/19/2024
205422	TRANSFER	0	6/7/2024
205424	TRANSFER	0	6/7/2024
205425	TRANSFER	0	6/13/2024
205426	TRANSFER	0	6/7/2024
205429	TRANSFER	0	6/11/2024
205430	TRANSFER	0	6/11/2024
205431	TRANSFER	0	6/14/2024
205432	TRANSFER	0	6/11/2024
205434	TRANSFER	0	6/7/2024
205440	TRANSFER	0	6/13/2024
205441	TRANSFER	0	6/11/2024
205442	TRANSFER	0	6/13/2024
205448	TRANSFER	0	6/7/2024
205274-10	TURNING	11.67	7/23/2024
205264-01	TURNING	4.8	5/31/2024
205272-06B	TURNING	3.8	6/24/2024
205384	TURNING	1.83	6/5/2024
205467	TURNING	1.75	6/10/2024
205266SER	TURNING	1.47	5/20/2024
205416-01	TURNING	0.67	5/31/2024
205416-02	TURNING	0.67	5/31/2024
205416-03	TURNING	0.67	5/31/2024
205274-08	VERMACH	60	7/23/2024
205274-09	VERMACH	27.5	7/23/2024
205368	VERMACH	16	6/21/2024
205214	VERMACH	12	7/5/2024
205326-01	VERMACH	9	6/10/2024
205473SER	VERMACH	9	6/24/2024
205367	VERMACH	6.82	6/21/2024
205475SER	VERMACH	6.33	6/25/2024
205272-02B	VERMACH	6	6/17/2024
205478SER	VERMACH	5.17	6/25/2024
205272-03	VERMACH	4	6/18/2024
205264-01	VERMACH	2.96	6/5/2024
205494	VERMACH	2.5	6/26/2024
205214	VERMACH	2	7/8/2024
204846-18	VERMACH	1.5	6/13/2024
204846-19	VERMACH	1.5	6/18/2024
205272-01A	VERMACH	1.5	6/18/2024
205178	VERMACH	1.1	5/30/2024
205249-04	VERMACH	1	5/23/2024
205416-04	VERMACH	1	6/3/2024
205416-01	VERMACH	0.42	6/3/2024
205416-02	VERMACH	0.42	6/3/2024
205416-03	VERMACH	0.42	6/3/2024
205475SER	VIPER	3.39	6/26/2024
205473SER	VIPER	1	6/25/2024
205561	WOTAN	20	6/13/2024

