Job,Workcenter,Hours Remaining,Due date
203944,ASSEMBLE,0,5/3/2024
204845,ASSEMBLE,0,4/24/2024
202894-57,ASSEMBLE,0,4/16/2024
202894-57,ASSEMBLE,0,4/16/2024
204894SER,ASSEMBLE,0,4/17/2024
204667,BBE,0,4/29/2024
204933,BURN,16.03,4/30/2024
204938,BURN,3.5,4/26/2024
204890-01A,BURN,1.35,4/22/2024
204890-02A,BURN,1.35,4/19/2024
204859-08,BURN,0.5,5/8/2024
204860-03,BURN,0.35,5/8/2024
204859-05,BURN,0.3,5/8/2024
204940-02,BURN,0.27,5/7/2024
204860-01,BURN,0.2,5/8/2024
204881-05,BURN,0.2,5/30/2024
204940-07,BURN,0.17,5/7/2024
204859-03,BURN,0.15,5/8/2024
204881-03,BURN,0.12,5/30/2024
204881-08,BURN,0.12,5/30/2024
204859-06,BURN,0.1,5/8/2024
204881-06,BURN,0.08,5/30/2024
204881-10,BURN,0.08,5/30/2024
190540-97ENG,CONTROLENG,19.5,2/5/2024
202894-97ENG,CONTROLENG,12.92,4/12/2024
201949-98,CONTROLENG,10,2/15/2024
202894-97ENG,CONTROLENG,9.3,4/10/2024
201949-97ENG,CONTROLENG,8.47,2/12/2024
202894-99ENG,CONTROLENG,7.5,4/16/2024
201949-99ENG,CONTROLENG,7.03,2/15/2024
201949-98ENG,CONTROLENG,6.97,2/14/2024
201949-98ENG,CONTROLENG,5,2/13/2024
201949-99ENG,CONTROLENG,5,2/14/2024
202894-98ENG,CONTROLENG,5,4/16/2024
202894-99ENG,CONTROLENG,5,4/15/2024
202894-99ENG,CONTROLENG,2.6,4/15/2024
201949-99ENG,CONTROLENG,2.5,2/14/2024
190540-97ENG,CONTROLENG,0,2/1/2024
190540-97ENG,CONTROLENG,0,2/1/2024
201949-97ENG,CONTROLENG,0,2/13/2024
201949-97ENG,CONTROLENG,0,2/13/2024
201949-98ENG,CONTROLENG,0,2/15/2024
202894-97ENG,CONTROLENG,0,4/12/2024
202894-98ENG,CONTROLENG,0,4/16/2024
202894-98ENG,CONTROLENG,0,4/16/2024
201949-97ENG,CONTROLPRG,19,2/15/2024
202894-97ENG,CONTROLPRG,19,4/16/2024
190540-97ENG,CONTROLPRG,8.28,2/1/2024
190540,CONTROLPRG,0,4/9/2024
201949,CONTROLPRG,0,4/15/2024
202894,CONTROLPRG,0,4/30/2024
190540,CONTROLS,150,6/17/2024
202894-98,CONTROLS,15.75,4/16/2024
201949-98,CONTROLS,14.97,2/14/2024
201758,CONTROLS,10,3/15/2024
204140,CONTROLS,10,-
201949,CONTROLS,9.5,4/12/2024
204301,CONTROLS,8,5/21/2024
204301,CONTROLS,8,5/22/2024
204361,CONTROLS,8,5/20/2024
202894,CONTROLS,7,4/22/2024
204071,CONTROLS,6,5/6/2024
204361,CONTROLS,6,5/21/2024
201949-97C2,CONTROLS,3,10/18/2023
202894-97D1,CONTROLS,1.5,4/15/2024
202894-97C2,CONTROLS,1,4/15/2024
202894-97F1,CONTROLS,1,4/15/2024
201949-99A,CONTROLS,0.1,2/9/2024
202894-97A,CONTROLS,0.1,4/16/2024
202894-97B,CONTROLS,0.1,4/16/2024
202894-97C,CONTROLS,0.1,4/16/2024
202894-97D,CONTROLS,0.1,4/16/2024
202894-97E,CONTROLS,0.1,4/16/2024
202894-97F,CONTROLS,0.1,4/16/2024
202894-97M,CONTROLS,0.1,4/16/2024
202894-99,CONTROLS,0.1,4/9/2024
190540,CONTROLS,0,6/17/2024
201949,CONTROLS,0,4/12/2024
201949,CONTROLS,0,4/10/2024
201949,CONTROLS,0,4/12/2024
202894,CONTROLS,0,4/22/2024
202894,CONTROLS,0,4/22/2024
204071,CONTROLS,0,5/3/2024
201949-97C1,CONTROLS,0,10/20/2023
201949-97D1,CONTROLS,0,10/30/2023
201949-97E1,CONTROLS,0,10/13/2023
201949-97F1,CONTROLS,0,-
201949-97M,CONTROLS,0,-
201949-99,CONTROLS,0,2/9/2024
202894-97,CONTROLS,0,4/16/2024
202894-97A1,CONTROLS,0,4/15/2024
202894-97B1,CONTROLS,0,4/15/2024
202894-97C1,CONTROLS,0,4/15/2024
202894-97E1,CONTROLS,0,4/15/2024
202894-99A,CONTROLS,0,4/9/2024
204169-95,ENG-APPROV,0,-
204255,ENG-CHECK,0,4/30/2024
201758-95,ENG-CHECK,0,4/9/2024
204169-95,ENG-CHECK,0,-
204441-95,ENG-CHECK,0,4/26/2024
204836-95,ENG-DESIGN,10,-
202894-95,ENG-DESIGN,5.6,4/16/2024
204348,ENG-DESIGN,0,4/11/2024
200569-95,ENG-DESIGN,0,-
200889-95,ENG-DESIGN,0,-
201055-95,ENG-DESIGN,0,-
201099-95,ENG-DESIGN,0,-
201445-95,ENG-DESIGN,0,-
201703-95,ENG-DESIGN,0,-
201758-95,ENG-DESIGN,0,4/9/2024
201858-95,ENG-DESIGN,0,-
202339-95,ENG-DESIGN,0,-
202340-95,ENG-DESIGN,0,-
203138-95,ENG-DESIGN,0,-
203139-95,ENG-DESIGN,0,-
203140-95,ENG-DESIGN,0,-
203142-95,ENG-DESIGN,0,-
203143-95,ENG-DESIGN,0,-
203144-95,ENG-DESIGN,0,-
203145-95,ENG-DESIGN,0,-
203146-95,ENG-DESIGN,0,-
203147-95,ENG-DESIGN,0,-
203148-95,ENG-DESIGN,0,-
203149-95,ENG-DESIGN,0,-
203150-95,ENG-DESIGN,0,-
203244-95,ENG-DESIGN,0,-
203246-95,ENG-DESIGN,0,-
203628-95,ENG-DESIGN,0,-
203634-95,ENG-DESIGN,0,4/22/2024
203635-95,ENG-DESIGN,0,4/22/2024
203639-95,ENG-DESIGN,0,-
203641-95,ENG-DESIGN,0,-
203943-95,ENG-DESIGN,0,4/9/2024
204169-95,ENG-DESIGN,0,-
204333-95,ENG-DESIGN,0,-
204339-95,ENG-DESIGN,0,-
204343-95,ENG-DESIGN,0,-
204345-95,ENG-DESIGN,0,-
204386-95,ENG-DESIGN,0,4/24/2024
204387-95,ENG-DESIGN,0,4/24/2024
204396-95,ENG-DESIGN,0,-
204441-95,ENG-DESIGN,0,4/26/2024
204630-95,ENG-DESIGN,0,-
204631-95,ENG-DESIGN,0,4/19/2024
204632-95,ENG-DESIGN,0,4/19/2024
204633-95,ENG-DESIGN,0,-
204634-95,ENG-DESIGN,0,-
204635-95,ENG-DESIGN,0,-
204636-95,ENG-DESIGN,0,-
204637-95,ENG-DESIGN,0,-
204638-95,ENG-DESIGN,0,-
204639-95,ENG-DESIGN,0,-
204640-95,ENG-DESIGN,0,-
204771-95,ENG-DESIGN,0,4/19/2024
204772-95,ENG-DESIGN,0,-
204773-95,ENG-DESIGN,0,-
204774-95,ENG-DESIGN,0,-
204775-95,ENG-DESIGN,0,-
204776-95,ENG-DESIGN,0,-
204778-95,ENG-DESIGN,0,-
204779-95,ENG-DESIGN,0,-
204780-95,ENG-DESIGN,0,-
204781-95,ENG-DESIGN,0,-
204783-95,ENG-DESIGN,0,-
204784-95,ENG-DESIGN,0,-
204785-95,ENG-DESIGN,0,-
204786-95,ENG-DESIGN,0,-
204787-95,ENG-DESIGN,0,-
204788-95,ENG-DESIGN,0,-
204789-95,ENG-DESIGN,0,-
204836-95,ENG-DETAIL,10,-
201758-95,ENG-DETAIL,0,4/9/2024
204169-95,ENG-DETAIL,0,-
204441-95,ENG-DETAIL,0,4/26/2024
204607-95,ENG-DETAIL,0,4/15/2024
204215,ENGINEER,0,4/11/2024
204215,ENGINEER,0,4/11/2024
204215,ENGINEER,0,4/11/2024
204350,ENGINEER,0,4/16/2024
204350,ENGINEER,0,4/16/2024
204350,ENGINEER,0,4/16/2024
204020-95,ENGINEER,0,-
204397-95,ENGINEER,0,-
