Job,Workcenter,Hours Remaining,Due date
203638-37,INSPECT,0.05,4/26/2024
203638-38,INSPECT,0.05,4/23/2024
204441-03A,INSPECT,0.05,-
204441-06,INSPECT,0.05,4/24/2024
204586-01,INSPECT,0.05,4/18/2024
204672-11,INSPECT,0.05,4/9/2024
204673-12,INSPECT,0.05,4/16/2024
204674-11,INSPECT,0.05,4/16/2024
204675-11,INSPECT,0.05,4/9/2024
204749-12,INSPECT,0.05,4/30/2024
204765-02D,INSPECT,0.05,4/10/2024
204859-11,INSPECT,0.05,5/8/2024
204860-11,INSPECT,0.05,5/8/2024
204881-12,INSPECT,0.05,5/30/2024
204881-13,INSPECT,0.05,5/30/2024
204883-02B,INSPECT,0.05,5/17/2024
204883-04,INSPECT,0.05,5/20/2024
204883-05,INSPECT,0.05,5/20/2024
204883-06,INSPECT,0.05,5/23/2024
204922-01,INSPECT,0.05,4/22/2024
204922-02,INSPECT,0.05,4/22/2024
204922-03,INSPECT,0.05,4/22/2024
204923-03,INSPECT,0.05,4/22/2024
204441-04S,INSPECT,0.03,4/18/2024
204441-04T,INSPECT,0.03,4/18/2024
204441-04U,INSPECT,0.03,4/18/2024
204441-04V,INSPECT,0.03,4/18/2024
204877-03,INSPECT,0.03,4/25/2024
204923-02,INSPECT,0.03,4/19/2024
204887,INSPECT,0.02,4/30/2024
204887-03,INSPECT,0.02,4/22/2024
203994,INSPECT,0.01,4/16/2024
204831,INSPECT,0.01,4/19/2024
204887-11,INSPECT,0.01,4/25/2024
203446,INSPECT,0,4/9/2024
203994,INSPECT,0,4/15/2024
204352,INSPECT,0,4/9/2024
204371,INSPECT,0,4/12/2024
204632,INSPECT,0,4/25/2024
204771,INSPECT,0,4/25/2024
204832,INSPECT,0,4/17/2024
204893,INSPECT,0,4/24/2024
204933,INSPECT,0,5/14/2024
204935,INSPECT,0,4/25/2024
201949-01A,INSPECT,0,2/9/2024
201949-01A,INSPECT,0,2/9/2024
201949-36,INSPECT,0,2/9/2024
201949-46,INSPECT,0,2/9/2024
202327-03,INSPECT,0,10/5/2023
202894-01A,INSPECT,0,4/9/2024
202894-01A,INSPECT,0,4/9/2024
202894-02C,INSPECT,0,4/9/2024
203638-10,INSPECT,0,4/17/2024
203638-11,INSPECT,0,4/17/2024
203638-22,INSPECT,0,4/17/2024
203638-23,INSPECT,0,4/17/2024
203638-24,INSPECT,0,4/17/2024
203638-40,INSPECT,0,4/23/2024
204096-05A,INSPECT,0,3/19/2024
204096-05C,INSPECT,0,3/19/2024
204590SER,INSPECT,0,4/22/2024
204753-10,INSPECT,0,5/2/2024
204877-01,INSPECT,0,4/18/2024
204883-02,INSPECT,0,5/23/2024
204830-01,LASER,0.2,4/18/2024
204947-02,LASER,0.2,4/23/2024
204910,LASER,0.08,4/22/2024
204913,LASER,0.08,4/22/2024
204441-08A,LASER,0.07,-
204947-01,LASER,0.07,4/23/2024
204909,LASER,0.03,4/22/2024
204911,LASER,0.03,4/22/2024
204912,LASER,0.03,4/22/2024
204915,LASER,0.03,4/22/2024
204947-03,LASER,0.03,4/23/2024
202894,LASER,0.02,4/30/2024
204866-02B,LASER,0.01,4/24/2024
204932-01,LASER,0,-
204590-01,MACH,4,4/10/2024
204790,MACH,2.5,5/9/2024
204924,MACH,1.5,4/23/2024
204927,MACH,1.5,4/23/2024
204926-01,MACH,1.5,4/23/2024
204923,MACH,1,4/24/2024
204925,MACH,0.75,4/23/2024
204887-11,MACH,0.49,4/24/2024
204441-06,MACH,0.33,4/24/2024
204923-03,MACH,0.33,4/19/2024
204923-02,MACH,0.25,4/19/2024
204866,MACH,0.22,4/30/2024
204441-05C,MACH,0,4/19/2024
190540,MATLHAND,51,4/18/2024
202894,MATLHAND,30,4/26/2024
204800,MATLHAND,9,4/11/2024
204449,MATLHAND,1.5,5/7/2024
203936,MATLHAND,1.33,4/12/2024
203937,MATLHAND,1.33,4/12/2024
204358,MATLHAND,1.25,4/10/2024
204821,MATLHAND,1.25,4/26/2024
203446,MATLHAND,1,4/9/2024
204877,MATLHAND,1,4/26/2024
203941,MATLHAND,0.75,4/19/2024
204886,MATLHAND,0.75,5/7/2024
204877-03,MATLHAND,0.53,4/22/2024
203940,MATLHAND,0.5,4/19/2024
203939,MATLHAND,0.25,4/10/2024
204822,MATLHAND,0.25,4/23/2024
204823,MATLHAND,0.25,5/3/2024
204872,MATLHAND,0.1,4/16/2024
204627,MATLHAND,0.08,4/12/2024
204689,MATLHAND,0.08,4/9/2024
204873-01A,MATLHAND,0.05,4/16/2024
201949,MATLHAND,0,4/15/2024
201949,MATLHAND,0,4/15/2024
202894,MATLHAND,0,4/29/2024
203944,MATLHAND,0,4/10/2024
204664,MATLHAND,0,4/29/2024
204934,MAZAK250,16,5/14/2024
204764,MAZAK250,8,5/1/2024
204747,MAZAK250,2,4/10/2024
204878-02,MAZAK250,1.92,4/24/2024
204878-01,MAZAK250,1.22,4/26/2024
204441-01A,MAZAK250,1,4/18/2024
204441-05A,MAZAK250,1,4/18/2024
204441-08B,MAZAK250,0.75,-
204923-03,MAZAK250,0.33,-
204933,MAZAK300C,60,5/13/2024
204890,MAZAK300C,7.55,5/1/2024
204441-03B,MAZAK300C,4,-
204893,MAZAK300C,2.92,4/24/2024
204441-02J,MAZAK300C,2.85,-
204441-01A,MAZAK300C,1.5,4/23/2024
204441-03K,MAZAK300C,1.12,-
204441-06,MAZAK300C,0.5,4/22/2024
204590SER,MAZAK300C,0,-
204887-03,MAZAK300C,0,4/19/2024
204933,MAZAK450,83.33,4/30/2024
204748,MAZAK450,2.5,4/11/2024
204878,MAZAK450,1.68,5/1/2024
204927,MAZAK450,1.5,4/23/2024
204441-06,MAZAK450,0.75,4/19/2024
204590SER,MAZAK510C1,28.4,4/18/2024
204934,MAZAK510C2,7.4,5/17/2024
204764,MAZAK510C2,3.7,5/6/2024
204883-02B,MAZAK700D,3.14,5/17/2024
204878-02,MAZAK700D,2.38,4/26/2024
204877-01,MAZAK700D,0.76,4/18/2024
203994,MAZAK700D,0.43,4/17/2024
204894SER,MISC,6,4/17/2024
204940,MVB25,4,5/14/2024
204523,PAINT,145.2,5/6/2024
204523-19,PAINT,20,4/11/2024
204487,PAINT,16.61,4/26/2024
204490,PAINT,12,5/7/2024
204071,PAINT,9.25,5/8/2024
204361,PAINT,9.25,5/23/2024
201949-01,PAINT,8,2/14/2024
202894-01,PAINT,8,4/12/2024
204881,PAINT,7.87,6/7/2024
204491,PAINT,6,4/25/2024
204804,PAINT,5.63,5/7/2024
204488,PAINT,4.5,4/26/2024
204140,PAINT,4,-
204301,PAINT,4,5/23/2024
204675,PAINT,4,4/25/2024
204860,PAINT,4,5/16/2024
204310-01,PAINT,4,4/9/2024
204590SER,PAINT,4,4/19/2024
204673,PAINT,3.75,4/24/2024
204674,PAINT,3.75,4/25/2024
204749,PAINT,3.75,5/8/2024
204859,PAINT,3.75,5/16/2024
204767,PAINT,3,5/9/2024
204424-03,PAINT,3,4/12/2024
204938,PAINT,2.33,5/1/2024
204470,PAINT,2.13,4/26/2024
204302,PAINT,2,4/9/2024
204427,PAINT,2,4/17/2024
203944-17,PAINT,2,4/9/2024
203944-18,PAINT,2,4/9/2024
201758,PAINT,1.47,4/26/2024
201949-06,PAINT,1.33,2/12/2024
204802,PAINT,1.25,4/25/2024
201949-27,PAINT,1.25,2/9/2024
202894-27,PAINT,1.25,4/9/2024
204386,PAINT,1,4/30/2024
204387,PAINT,1,4/30/2024
204878,PAINT,1,5/7/2024
204850SER,PAINT,0.83,5/9/2024
204870-01,PAINT,0.75,-
204730,PAINT,0.6,4/25/2024
202894-53,PAINT,0.5,4/12/2024
204905,PAINT,0.42,4/30/2024
202894-54,PAINT,0.25,4/15/2024
202894-55,PAINT,0.13,4/15/2024
201949-97B2,PAINT,0.02,-
202894-97B2,PAINT,0.02,4/15/2024
203944,PAINT,0,4/10/2024
204664,PAINT,0,4/26/2024
204672,PAINT,0,4/25/2024
201949-26,PAINT,0,2/9/2024
202894-02,PAINT,0,4/12/2024
202894-26,PAINT,0,4/9/2024
204844,PEEN,0,4/26/2024
190372,PEPFAR,0,6/27/2024
204310,PEPFAR,0,4/29/2024
204310,PEPFAR,0,4/29/2024
204310,PEPFAR,0,4/29/2024
202894,PRGRM CUT,0.2,4/29/2024
204947-01,PRGRM CUT,0.2,4/22/2024
204947-02,PRGRM CUT,0.2,4/22/2024
204947-03,PRGRM CUT,0.2,4/22/2024
204441-08A,PRGRM CUT,0.1,-
204441-03B,PRGRM MACH,2,-
204305,PRGRM MACH,1.4,4/9/2024
204890,PRGRM MACH,1,4/29/2024
204441-06,PRGRM MACH,1,4/19/2024
204934,PRGRM MACH,0.6,5/15/2024
204748,PRGRM MACH,0.5,4/10/2024
204804,PRGRM MACH,0.5,4/30/2024
204940,PRGRM MACH,0.5,5/10/2024
204441-01A,PRGRM MACH,0.5,4/22/2024
204791,PRGRM MACH,0.33,4/29/2024
204853,PRGRM MACH,0.33,5/10/2024
204764,PRGRM MACH,0.3,5/2/2024
204868,PRGRM MACH,0.3,4/19/2024
204877-01,PRGRM MACH,0.3,4/16/2024
204747,PRGRM MACH,0.25,4/9/2024
204878-02,PRGRM MACH,0.2,4/25/2024
204859-11,PRGRM MACH,0.15,5/6/2024
204859-12,PRGRM MACH,0.15,5/6/2024
204860-11,PRGRM MACH,0.15,5/6/2024
204881-13,PRGRM MACH,0.15,5/28/2024
204881-12,PRGRM MACH,0.08,5/28/2024
203994,PRGRM MACH,0,4/9/2024
203994,PRGRM MACH,0,4/18/2024
204371,PRGRM MACH,0,4/10/2024
204893,PRGRM MACH,0,4/23/2024
204933,PRGRM MACH,0,4/30/2024
204537-95,PROCESSENG,0,-
204890-01A,ROTOBLAST,2.5,4/23/2024
204890-02A,ROTOBLAST,2.5,4/22/2024
201758,ROTOBLAST,2,4/25/2024
204534-02,ROTOBLAST,1.05,4/10/2024
204765-01,ROTOBLAST,1.05,4/29/2024
204907,ROTOBLAST,0.8,4/26/2024
204804,ROTOBLAST,0.63,5/6/2024
204893,ROTOBLAST,0.5,4/22/2024
204881-01,ROTOBLAST,0.5,5/31/2024
204938,ROTOBLAST,0.47,4/29/2024
204905,ROTOBLAST,0.4,4/24/2024
204868-11A,ROTOBLAST,0.4,4/17/2024
204883-01F,ROTOBLAST,0.4,5/15/2024
204883-03,ROTOBLAST,0.4,5/17/2024
204883-05,ROTOBLAST,0.4,5/17/2024
204890-01B,ROTOBLAST,0.33,4/23/2024
204890-02B,ROTOBLAST,0.33,4/22/2024
204723,ROTOBLAST,0.25,4/25/2024
204850SER,ROTOBLAST,0.25,5/3/2024
204767,ROTOBLAST,0.2,5/7/2024
204859-05,ROTOBLAST,0.2,5/9/2024
204859-06,ROTOBLAST,0.2,5/9/2024
204859-07,ROTOBLAST,0.2,5/8/2024
204859-08,ROTOBLAST,0.2,5/8/2024
204859-11A,ROTOBLAST,0.2,5/2/2024
204859-12A,ROTOBLAST,0.2,5/2/2024
204860-01,ROTOBLAST,0.2,5/9/2024
204860-05,ROTOBLAST,0.2,5/9/2024
204860-06,ROTOBLAST,0.2,5/9/2024
204860-08,ROTOBLAST,0.2,5/9/2024
204860-11A,ROTOBLAST,0.2,5/2/2024
204883-04,ROTOBLAST,0.2,5/17/2024
204883-06A,ROTOBLAST,0.2,5/20/2024
204859-02,ROTOBLAST,0.15,5/9/2024
204859-09,ROTOBLAST,0.15,5/9/2024
204860-07,ROTOBLAST,0.15,5/9/2024
204860-09,ROTOBLAST,0.15,5/9/2024
204887,ROTOBLAST,0.13,4/29/2024
204859-03,ROTOBLAST,0.1,5/9/2024
204860-04,ROTOBLAST,0.1,5/9/2024
204860-10,ROTOBLAST,0.1,5/9/2024
204881-05,ROTOBLAST,0.1,5/31/2024
204940-02,ROTOBLAST,0.1,5/7/2024
204940-07,ROTOBLAST,0.1,5/7/2024
204881-03,ROTOBLAST,0.08,5/31/2024
204881-07,ROTOBLAST,0.08,5/30/2024
204859-10,ROTOBLAST,0.07,5/9/2024
204881-02,ROTOBLAST,0.07,5/31/2024
204881-06,ROTOBLAST,0.07,5/31/2024
204881-08,ROTOBLAST,0.07,5/31/2024
204881-09,ROTOBLAST,0.07,5/31/2024
204881-10,ROTOBLAST,0.07,5/31/2024
204881-11,ROTOBLAST,0.07,5/31/2024
204881-13A,ROTOBLAST,0.07,5/23/2024
204881-12A,ROTOBLAST,0.05,5/23/2024
204887-11,ROTOBLAST,0.05,4/25/2024
204823,ROTOBLAST,0.01,4/15/2024
204866-02A,ROTOBLAST,0,4/24/2024
204878-01,ROTOBLAST,0,4/25/2024
204878-02,ROTOBLAST,0,4/24/2024
204897-01,SAW,0.9,4/18/2024
204934,SAW,0.84,4/19/2024
203638-41,SAW,0.66,4/24/2024
204877-01,SAW,0.64,4/16/2024
204860-02,SAW,0.4,5/9/2024
204859-01,SAW,0.38,5/9/2024
204881-01,SAW,0.38,5/30/2024
204441-08B,SAW,0.3,-
202894-53A,SAW,0.17,4/10/2024
204441-05A,SAW,0.17,4/18/2024
204926-02,SAW,0.17,4/22/2024
204940-01,SAW,0.17,5/7/2024
204441-01A,SAW,0.12,4/18/2024
204441-06,SAW,0.12,4/19/2024
204859-12B,SAW,0.1,5/2/2024
204887-03,SAW,0.09,4/22/2024
204441-03Q,SAW,0.08,-
204881-12B,SAW,0.08,5/23/2024
204881-13B,SAW,0.08,5/23/2024
204923-03,SAW,0.08,4/19/2024
204859-11B,SAW,0.07,5/2/2024
204860-11B,SAW,0.07,5/2/2024
204860-07,SAW,0.03,5/9/2024
203994,SAW,0.01,4/19/2024
201758,SAW,0,4/29/2024
201949,SAW,0,4/15/2024
204386-01,SAW,0,4/24/2024
204441-05C,SAW,0,4/19/2024
204935,SHEAR,0,4/24/2024
204583,SHIP,4,4/9/2024
204494,SHIP,2,4/23/2024
204583,SHIP,2,4/10/2024
204255,SHIP,1,5/1/2024
204432,SHIP,1,4/29/2024
190540,SHIP,0,4/18/2024
201949,SHIP,0,4/15/2024
202894,SHIP,0,5/1/2024
203446,SHIP,0,4/12/2024
203936,SHIP,0,4/12/2024
203937,SHIP,0,4/12/2024
203938,SHIP,0,4/15/2024
203939,SHIP,0,4/15/2024
203940,SHIP,0,4/19/2024
203941,SHIP,0,4/19/2024
204358,SHIP,0,4/10/2024
204424,SHIP,0,4/16/2024
204427,SHIP,0,4/18/2024
204446,SHIP,0,5/7/2024
204447,SHIP,0,5/7/2024
204448,SHIP,0,5/7/2024
204449,SHIP,0,5/7/2024
204497,SHIP,0,4/23/2024
204564,SHIP,0,4/17/2024
204663,SHIP,0,4/29/2024
204821,SHIP,0,4/26/2024
204822,SHIP,0,4/23/2024
204823,SHIP,0,5/6/2024
204829,SHIP,0,4/24/2024
204830,SHIP,0,4/24/2024
204838,SHIP,0,4/19/2024
204840,SHIP,0,4/18/2024
204840,SHIP,0,4/18/2024
204891,SHIP,0,4/24/2024
204897,SHIP,0,4/29/2024
204898,SHIP,0,5/9/2024
204936,SHIP,0,5/2/2024
204936,SHIP,0,5/2/2024
204938,SHIP,0,5/2/2024
203638-17,SHIP,0,4/24/2024
203638-19,SHIP,0,4/24/2024
204096-05A,SHIP,0,3/20/2024
204096-05A1,SHIP,0,1/25/2024
204096-05A2,SHIP,0,1/25/2024
204096-05A3,SHIP,0,1/25/2024
204096-05A4,SHIP,0,1/25/2024
204096-05A5,SHIP,0,1/25/2024
204096-05C1,SHIP,0,1/25/2024
204096-05C2,SHIP,0,1/25/2024
204096-05D,SHIP,0,3/19/2024
204096-05E,SHIP,0,3/19/2024
204096-16,SHIP,0,4/9/2024
204096-20,SHIP,0,4/9/2024
204255-01,SHIP,0,3/19/2024
204255-05,SHIP,0,3/19/2024
204255-06,SHIP,0,3/19/2024
204255-07,SHIP,0,3/19/2024
204255-08,SHIP,0,3/19/2024
204523-01,SHIP,0,4/9/2024
204523-02,SHIP,0,4/9/2024
204523-03,SHIP,0,4/9/2024
204523-04,SHIP,0,4/9/2024
204523-05,SHIP,0,4/9/2024
204523-06,SHIP,0,4/9/2024
204523-07,SHIP,0,4/9/2024
204523-08,SHIP,0,4/9/2024
204523-09,SHIP,0,4/9/2024
204523-10,SHIP,0,4/9/2024
204523-11,SHIP,0,4/9/2024
204523-12,SHIP,0,4/9/2024
204523-13,SHIP,0,4/9/2024
204523-14,SHIP,0,4/9/2024
204523-15,SHIP,0,4/9/2024
204523-16,SHIP,0,4/9/2024
204523-17,SHIP,0,4/9/2024
204523-18,SHIP,0,4/9/2024
204534-01,SHIP,0,4/26/2024
204534-02,SHIP,0,4/10/2024
204534-03A,SHIP,0,4/25/2024
204534-03B,SHIP,0,4/25/2024
204534-04,SHIP,0,4/26/2024
204534-05,SHIP,0,4/26/2024
204765-01,SHIP,0,5/2/2024
204765-02,SHIP,0,4/19/2024
204765-03,SHIP,0,5/1/2024
204380,SHOPPROJ,0,-
204887,TRANSFER,0,5/7/2024
204424-01G,VIPER,4,3/26/2024
204371,VIPER,0,4/11/2024
204891,VIPER,0,4/22/2024
